month,VolumeTo
51446-09,469746663.93811727
51449-06,697773986.2691858
51452-03,1996178374.594492
51454-12,2058443849.314
51457-09,1129888341.3212836
51460-05,829011822.2365324
51463-02,971151050.9005816
51465-11,972343281.8603553
51468-08,1128353804.8007915
51471-05,1097804642.7577736
51474-02,775818897.3894848
51476-11,705853649.0264896
51479-07,585001376.155429
51482-04,439439052.9455421
51485-01,618530684.4325522
51487-10,975986802.0300353
51490-07,1369749939.9675038
51493-04,1007356802.218256
51496-01,649824820.7654814
51498-09,614050007.9919451
51501-06,777646151.6029468
51504-03,851028723.7031858
51506-12,982462166.6932294
51509-09,809555508.3476789
51512-06,807822745.1854327
51515-03,589931612.3419864
51517-11,505569016.35008293
51520-08,409661485.99856466
51523-05,421016379.36208767
51526-02,478441909.40505725
51528-11,422534162.14571214
51531-08,378938450.0817674
51534-05,265108103.13392133
51537-01,424932724.9687315
51539-10,278537286.1348134
51542-07,277497756.76841676
51545-04,310867928.28793913
51548-01,389690761.44466114
51550-10,422156523.6690079
51553-07,450323284.1507597
51556-03,363852799.8717801
51558-12,431793873.4232976
51561-09,757976547.217046
51564-06,904119081.6157126
51567-03,814597979.050504
51569-12,604389131.062836
51572-08,467011047.9414285
51575-05,492217964.4905557
51578-02,304862403.351449
51580-11,200325471.60414097
51583-08,368994475.5461124
51586-05,567724729.1059059
51589-02,387705855.0879112
51591-10,527258446.3977765
51594-07,297776329.0305825
51597-04,248508872.4599864
51600-01,396233441.0274596
51602-10,346664453.1367265
51605-07,482889274.517917
51608-04,341371442.9068388
51610-12,282732431.7520724
51613-09,279962133.6257099
51616-06,265132761.31704283
51619-03,432249835.49069726
51621-12,289340681.0789518
51624-09,420034883.00315255
51627-06,337838761.5572865
51630-02,255854874.4507745
51632-11,164116756.46299693
51635-08,188513289.12235728
51638-05,448462178.630381
51641-02,505617667.3992669
51643-11,463526509.325937
51646-08,358861340.7897901
51649-04,623662984.3843305
51652-01,287851131.1802577
51654-10,249900964.37153128
51657-07,409724831.94712263
51660-04,294323839.5070076
51663-01,321637085.47650874
51665-10,353390090.96777725
51668-06,311632094.25618845
51671-03,244063007.09022477
51673-12,185853330.43704256
51676-09,296325130.1709013
51679-06,233944812.560508
51682-03,247024351.59799168
51684-11,447676492.9840264
51687-08,255205290.2118373
51690-05,206034034.50803515
51693-02,220133631.61284167
51695-11,314390584.62646127
51698-08,838996309.1611282
51701-05,512437200.3611044
51704-01,552794530.866682
51706-10,352800745.20792854
51709-07,280672404.6804955
51712-04,253660600.3252929
51715-01,449120676.8427603
51717-10,362980689.8799913
51720-07,216325351.8586446
51723-04,250291751.27141392
51725-12,215325611.6822151
51728-09,177252877.0029691
51731-06,275447898.032875
51734-03,420921679.8442632
51736-12,290675248.1414453
51739-09,462845251.8136103
51742-05,333925412.3041418
51745-02,424413201.53293216
51747-11,177707852.5948189
51750-08,232149438.3639587
51753-05,247530733.18003485
51756-02,270727559.77701086
51758-11,279586845.5362138
51761-07,238343204.48251528
51764-04,248931322.1008505
51767-01,211909734.13572004
51769-10,275899861.65387124
51772-07,250117281.63661337
51775-04,283535483.41051364
51778-01,488220760.6464156
51780-09,243246414.9489239
51783-06,737329544.8835196
51786-03,1522244166.4108484
51788-12,887438297.7462668
51791-09,759178942.9488419
51794-06,600611324.6356996
51797-03,506584830.0313323
51799-11,498152743.7348088
51802-08,398803069.00908464
51805-05,268119579.73009112
51808-02,256664259.6621914
51810-11,426792003.1749065
51813-08,428156963.0785469
51816-05,348607499.83121693
51819-01,361217475.05834645
51821-10,555589995.9935858
51824-07,259733491.8299089
51827-04,307316853.90375423
51830-01,394585996.3292871
51832-10,352675938.430593
51835-07,235060554.1241016
51838-03,290104306.9530332
51840-12,394708981.3155723
51843-09,177222838.38564816
51846-06,229995700.81158423
51849-03,358706174.8252184
51851-12,353463792.04443395
51854-09,263387575.485922
51857-05,455166676.2781802
51860-02,917881536.262084
51862-11,364446217.3737604
51865-08,481922941.3269758
51868-05,831628458.3049068
51871-02,469602476.91268086
51873-10,671646609.1695509
51876-07,427572714.94560075
51879-04,463006956.68515134
51882-01,358749026.3607554
51884-10,446524917.2059704
51887-07,337889295.51018095
51890-04,242379261.10434756
51892-12,608623482.7599232
51895-09,434738864.7840124
51898-06,356905919.01556
51901-03,237000924.85530463
51903-12,223314325.61846468
51906-09,347471155.4826833
51909-06,363127435.3955167
51912-03,217095653.86658928
51914-11,303657479.492691
51917-08,199836160.23365223
51920-05,211004228.015854
51923-02,187402764.56353113
51925-11,307508569.89251375
51928-08,364087469.8222779
51931-05,654057202.1588289
51934-01,397407677.058565
51936-10,229842650.42149535
51939-07,139069157.08645767
51942-04,285577206.9406348
51945-01,510710431.7668603
51947-10,318428019.00091
51950-06,198273303.10954583
51953-03,263289798.9561876
51955-12,242214722.72289035
51958-09,196322192.43800187
51961-06,231731575.8282169
51964-03,216508875.51767525
51966-12,187518399.34504
51969-08,121214452.11606228
51972-05,225982341.3011403
51975-02,495098582.96203536
51977-11,219874240.93994808
51980-08,284848683.7891762
51983-05,413330481.2260492
51986-02,724202791.1429626
51988-10,926410232.6045058
51991-07,507258250.4748797
51994-04,652774220.3884369
51997-01,445034349.5647021
51999-10,309351920.45885
52002-07,252656965.35815012
52005-04,1032735180.8658738
52007-12,743712237.2790816
52010-09,451752380.28108114
52013-06,629568740.707009
52016-03,340852837.9160803
52018-12,623950864.2762928
52021-09,336447837.0018059
52024-06,316056704.984738
52027-02,252638888.21492553
52029-11,407428808.67533696
52032-08,349874174.79003936
52035-05,212869245.63589776
52038-02,263941925.272999
52040-11,473194952.8044688
52043-08,676593159.4823396
