time,Open,High,Low,Close,VolumeFrom,VolumeTo
2024-10-24,2522.33,2559.63,2505.09,2534.54,520686.94,1317937404.35
2024-10-25,2534.54,2564.77,2379.92,2436.2,793068.69,1979249041.9
2024-10-26,2436.2,2504.68,2426.19,2479.7,374032.46,919877716.08
2024-10-27,2479.7,2524.68,2460.86,2505.21,250034.47,622733569.44
2024-10-28,2505.21,2587.97,2468.99,2565.82,621030.44,1563895675.64
2024-10-29,2565.82,2681.49,2559.73,2638.16,695762.27,1827635698.82
2024-10-30,2638.16,2721.17,2599.62,2658.35,598055.65,1596173816.57
2024-10-31,2658.35,2668.16,2500.37,2515.04,525510.51,1356038657.29
2024-11-01,2515.04,2585.36,2465.23,2510.39,540363.93,1361183545.79
2024-11-02,2510.39,2522.44,2470.1,2493.41,197860.22,493209504.13
2024-11-03,2493.41,2495.76,2410.21,2456.66,456155.0,1116194001.28
2024-11-04,2456.66,2489.68,2356.45,2396.87,488064.97,1188223675.72
2024-11-05,2396.87,2479.4,2379.36,2422.4,541608.48,1318124371.56
2024-11-06,2422.4,2746.79,2420.17,2724.61,983307.18,2568248687.47
2024-11-07,2724.61,2920.14,2701.67,2897.52,983985.53,2796153110.79
2024-11-08,2897.52,2985.38,2889.33,2963.98,864685.78,2534385795.77
2024-11-09,2963.98,3158.45,2957.02,3127.99,674864.79,2054533990.24
2024-11-10,3127.99,3251.73,3070.75,3186.06,1066371.96,3390612974.74
2024-11-11,3186.06,3391.44,3108.06,3375.79,1371655.28,4474444777.51
2024-11-12,3375.79,3446.83,3210.71,3247.18,1572933.12,5174594924.83
2024-11-13,3247.18,3339.13,3121.1,3191.32,1694646.9,5472868207.56
2024-11-14,3191.32,3242.46,3029.87,3059.11,1094612.33,3442349717.01
2024-11-15,3059.11,3131.21,3014.42,3091.03,1010306.63,3095289918.88
2024-11-16,3091.03,3220.45,3073.05,3134.46,711991.72,2242190060.83
2024-11-17,3134.46,3161.64,3035.43,3076.78,883275.45,2731030374.29
2024-11-18,3076.78,3225.96,3043.95,3209.54,1056560.33,3307522653.43
2024-11-19,3209.54,3222.68,3069.92,3112.1,872393.18,2725538047.03
2024-11-20,3112.1,3161.74,3032.19,3072.39,920895.41,2847325391.97
2024-11-21,3072.39,3390.36,3035.42,3359.82,1472261.88,4818916672.09
2024-11-22,3359.82,3429.52,3260.59,3331.89,1093593.44,3631141762.22
2024-11-23,3331.89,3500.84,3316.75,3397.31,1006484.06,3427409235.21
2024-11-24,3397.31,3453.25,3286.01,3364.81,714306.85,2391223534.12
2024-11-25,3364.81,3546.9,3304.24,3414.86,1551247.76,5348045568.7
